"vuln_id","url","package","version_local","severity","grype","osv","vulnix","sum","sortcol"
"CVE-2024-13176","https://nvd.nist.gov/vuln/detail/CVE-2024-13176","openssl","3.1.2","4.1","1","0","0","1","2024A0000013176"
"CVE-2024-9143","https://nvd.nist.gov/vuln/detail/CVE-2024-9143","openssl","3.1.2","4.3","1","0","0","1","2024A0000009143"
"CVE-2024-6119","https://nvd.nist.gov/vuln/detail/CVE-2024-6119","openssl","3.1.2","7.5","1","0","1","2","2024A0000006119"
"CVE-2024-5535","https://nvd.nist.gov/vuln/detail/CVE-2024-5535","openssl","3.1.2","9.1","1","0","0","1","2024A0000005535"
"CVE-2024-4741","https://nvd.nist.gov/vuln/detail/CVE-2024-4741","openssl","3.1.2","7.5","1","0","0","1","2024A0000004741"
"CVE-2024-4603","https://nvd.nist.gov/vuln/detail/CVE-2024-4603","openssl","3.1.2","5.3","1","0","0","1","2024A0000004603"
"CVE-2024-2511","https://nvd.nist.gov/vuln/detail/CVE-2024-2511","openssl","3.1.2","5.9","1","0","0","1","2024A0000002511"
"CVE-2024-0727","https://nvd.nist.gov/vuln/detail/CVE-2024-0727","openssl","3.1.2","5.5","1","0","1","2","2024A0000000727"
"CVE-2023-6237","https://nvd.nist.gov/vuln/detail/CVE-2023-6237","openssl","3.1.2","5.9","1","0","0","1","2023A0000006237"
"CVE-2023-6129","https://nvd.nist.gov/vuln/detail/CVE-2023-6129","openssl","3.1.2","6.5","1","0","1","2","2023A0000006129"
"CVE-2023-5678","https://nvd.nist.gov/vuln/detail/CVE-2023-5678","openssl","3.1.2","5.3","1","0","1","2","2023A0000005678"
"CVE-2023-5363","https://nvd.nist.gov/vuln/detail/CVE-2023-5363","openssl","3.1.2","7.5","1","0","1","2","2023A0000005363"
"CVE-2023-4807","https://nvd.nist.gov/vuln/detail/CVE-2023-4807","openssl","3.1.2","7.8","1","0","1","2","2023A0000004807"
