"vuln_id","url","package","version_local","severity","grype","osv","vulnix","sum","sortcol"
"CVE-2026-31790","https://nvd.nist.gov/vuln/detail/CVE-2026-31790","openssl","3.6.0","7.5","1","0","1","2","2026A0000031790"
"CVE-2026-31789","https://nvd.nist.gov/vuln/detail/CVE-2026-31789","openssl","3.6.0","9.8","1","0","1","2","2026A0000031789"
"CVE-2026-28390","https://nvd.nist.gov/vuln/detail/CVE-2026-28390","openssl","3.6.0","7.5","1","0","1","2","2026A0000028390"
"CVE-2026-28389","https://nvd.nist.gov/vuln/detail/CVE-2026-28389","openssl","3.6.0","7.5","1","0","1","2","2026A0000028389"
"CVE-2026-28388","https://nvd.nist.gov/vuln/detail/CVE-2026-28388","openssl","3.6.0","7.5","1","0","1","2","2026A0000028388"
"CVE-2026-28387","https://nvd.nist.gov/vuln/detail/CVE-2026-28387","openssl","3.6.0","8.1","1","0","1","2","2026A0000028387"
"CVE-2026-28386","https://nvd.nist.gov/vuln/detail/CVE-2026-28386","openssl","3.6.0","7.5","1","0","1","2","2026A0000028386"
"CVE-2026-22796","https://nvd.nist.gov/vuln/detail/CVE-2026-22796","openssl","3.6.0","5.3","1","0","1","2","2026A0000022796"
"CVE-2026-22795","https://nvd.nist.gov/vuln/detail/CVE-2026-22795","openssl","3.6.0","5.5","1","0","1","2","2026A0000022795"
"CVE-2026-2673","https://nvd.nist.gov/vuln/detail/CVE-2026-2673","openssl","3.6.0","6.5","1","0","0","1","2026A0000002673"
"CVE-2025-69421","https://nvd.nist.gov/vuln/detail/CVE-2025-69421","openssl","3.6.0","7.5","1","0","1","2","2025A0000069421"
"CVE-2025-69420","https://nvd.nist.gov/vuln/detail/CVE-2025-69420","openssl","3.6.0","7.5","1","0","1","2","2025A0000069420"
"CVE-2025-69419","https://nvd.nist.gov/vuln/detail/CVE-2025-69419","openssl","3.6.0","7.4","1","0","1","2","2025A0000069419"
"CVE-2025-69418","https://nvd.nist.gov/vuln/detail/CVE-2025-69418","openssl","3.6.0","4.0","1","0","1","2","2025A0000069418"
"CVE-2025-68160","https://nvd.nist.gov/vuln/detail/CVE-2025-68160","openssl","3.6.0","4.7","1","0","1","2","2025A0000068160"
"CVE-2025-66199","https://nvd.nist.gov/vuln/detail/CVE-2025-66199","openssl","3.6.0","5.9","1","0","1","2","2025A0000066199"
"CVE-2025-15469","https://nvd.nist.gov/vuln/detail/CVE-2025-15469","openssl","3.6.0","5.5","1","0","1","2","2025A0000015469"
"CVE-2025-15468","https://nvd.nist.gov/vuln/detail/CVE-2025-15468","openssl","3.6.0","5.9","1","0","1","2","2025A0000015468"
"CVE-2025-15467","https://nvd.nist.gov/vuln/detail/CVE-2025-15467","openssl","3.6.0","8.8","1","0","1","2","2025A0000015467"
"CVE-2025-11187","https://nvd.nist.gov/vuln/detail/CVE-2025-11187","openssl","3.6.0","6.1","1","0","1","2","2025A0000011187"
