"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls"
"acl-2.2.53","acl-2.2.53","","","x86_64-linux","/nix/store/5s4v1ska7pgdfj4brzkcab9kq56a0jzc-acl-2.2.53","['/nix/store/5s4v1ska7pgdfj4brzkcab9kq56a0jzc-acl-2.2.53']","/nix/store/cffvxixn9i2255mld565r7k14m8k37zk-acl-2.2.53.drv","cpe:2.3:a:acl-2.2.53:acl-2.2.53::*:*:*:*:*:*:*","pkg:nix/acl-2.2.53",""
"attr-2.4.48","attr-2.4.48","","/nix/store/6afjbhgxgl3jrwiwackzslkjcn0bhd1z-?id=14adc898a36948267bfe5c63b399996879e94c98","x86_64-linux","/nix/store/jyxphfkij1il4ip6y34832v9gakg3pqy-attr-2.4.48","['/nix/store/jyxphfkij1il4ip6y34832v9gakg3pqy-attr-2.4.48']","/nix/store/72gw72p0c8vbinx422awrps821rpy45d-attr-2.4.48.drv","cpe:2.3:a:attr-2.4.48:attr-2.4.48::*:*:*:*:*:*:*","pkg:nix/attr-2.4.48",""
"coreutils-8.30","coreutils-8.30","","","x86_64-linux","/nix/store/q2s80z6hhw1gi3wa14v5a1zppkqk9c2p-coreutils-8.30","['/nix/store/q2s80z6hhw1gi3wa14v5a1zppkqk9c2p-coreutils-8.30']","/nix/store/32lyy7qa3c7diagyk5ixpzlizmjwc2sd-coreutils-8.30.drv","cpe:2.3:a:coreutils-8.30:coreutils-8.30::*:*:*:*:*:*:*","pkg:nix/coreutils-8.30",""
"cosmian-kms-server-rebuild-1-5.14.0","cosmian-kms-server-rebuild-1","5.14.0","","x86_64-linux","/nix/store/g8lxrs0b6z14hi0wmw6iln5akqacm01i-cosmian-kms-server-rebuild-1-5.14.0","['/nix/store/g8lxrs0b6z14hi0wmw6iln5akqacm01i-cosmian-kms-server-rebuild-1-5.14.0']","/nix/store/c251wvmafbrqdh4m19l2b8301jxmakxx-cosmian-kms-server-rebuild-1-5.14.0.drv","cpe:2.3:a:cosmian-kms-server-rebuild-1:cosmian-kms-server-rebuild-1:5.14.0:*:*:*:*:*:*:*","pkg:nix/cosmian-kms-server-rebuild-1@5.14.0",""
"gcc-7.4.0","gcc-7.4.0","","/nix/store/s6lavkpjqzihfs0vjfnnz7lizpsfmgnl-riscv-pthread-reentrant.patch /nix/store/6m27y27zvzsjn1ir4y8mm9nc9xnh2sgx-riscv-no-relax.patch /nix/store/pz03lhak99nzyyni72m14zsjzfjvqvr8-no-sys-dirs.patch","x86_64-linux","/nix/store/0dr9rz1qjvxlg9mnknw5ycaj51mwc6ji-gcc-7.4.0","['/nix/store/0dr9rz1qjvxlg9mnknw5ycaj51mwc6ji-gcc-7.4.0', '/nix/store/f09zmq3sqiy0dnx8g4f1arngkjd4kih7-gcc-7.4.0-lib']","/nix/store/srsapnr4pgjmkpbfjfb4cm29a7f19l2y-gcc-7.4.0.drv","cpe:2.3:a:gcc-7.4.0:gcc-7.4.0::*:*:*:*:*:*:*","pkg:nix/gcc-7.4.0",""
"glibc-2.27","glibc-2.27","2.27","/nix/store/r0rc2prwi70hgw4jray5a8sd41fhvjm7-rpcgen-path.patch /nix/store/pp29isd0nvy4jrm9q2f92pjlc83xwa0i-nix-locale-archive.patch /nix/store/5212825a2npxaf7qd81sxfrqq6219rlx-dont-use-system-ld-so-cache.patch /nix/store/mnglr8rr7nl444h7p50ysyq8qd0fm1lm-dont-use-system-ld-so-preload.patch /nix/store/za0pg7fmysrcwrqcal26fnmzw6vycgdn-fix_path_attribute_in_getconf.patch /nix/store/xkd50xxii6k7l1kmw4l5x6xzbhamcs87-allow-kernel-2.6.32.patch /nix/store/nqa9d4yxz1l2cgswzqr1pkm4jfrksm0q-locale-C.diff /nix/store/fzcpm4yl1svg3ghp0p7q0y89d2bs178c-CVE-2018-11236.patch /nix/store/phcbxfjh8mrq3bkdyjrv6f8gw9gdi609-CVE-2018-11237.patch /nix/store/7kw224hdyxd7115lrqh9a4dv2x8msq2s-fix-x64-abi.patch","x86_64-linux","/nix/store/h0p0h3rh1q4i2yavzm3yqi716s9yaj2f-glibc-2.27","['/nix/store/g5ga1j3q4nla5w5x45sh3n4rjjb0qdb6-glibc-2.27-bin', '/nix/store/h0p0h3rh1q4i2yavzm3yqi716s9yaj2f-glibc-2.27', '/nix/store/lxjv8m13lqrllzgs1vxjlx36m5rbpb4s-glibc-2.27-dev']","/nix/store/iyx2bcg592imcfw8rg0fv3pjlar5ic1q-glibc-2.27.drv","cpe:2.3:a:glibc-2.27:glibc-2.27:2.27:*:*:*:*:*:*:*","pkg:nix/glibc-2.27@2.27",""
"linux-headers-4.19.16","linux-headers-4.19.16","","/nix/store/fidag0pf6hsmmc9xy153lvds3fhraz2z-no-relocs.patch /nix/store/6zjj48sjrc0v1krb53r32ss28wldwl5b-no-dynamic-cc-version-check.patch","x86_64-linux","/nix/store/5lyvydxv0w4f2s1ba84pjlbpvqkgn1ni-linux-headers-4.19.16","['/nix/store/5lyvydxv0w4f2s1ba84pjlbpvqkgn1ni-linux-headers-4.19.16']","/nix/store/3ixypiqybv0f4zfcv1qhdn4kald479py-linux-headers-4.19.16.drv","cpe:2.3:a:linux-headers-4.19.16:linux-headers-4.19.16::*:*:*:*:*:*:*","pkg:nix/linux-headers-4.19.16",""
"openssl-3.1.2","openssl","3.1.2","","x86_64-linux","/nix/store/p7lasxyvyk6gixqd4hc12qngc2diil7f-openssl-3.1.2","['/nix/store/p7lasxyvyk6gixqd4hc12qngc2diil7f-openssl-3.1.2']","/nix/store/ppwq7zdb0fl9gcgf43fqb5iv5fp1jbvs-openssl-3.1.2.drv","cpe:2.3:a:openssl:openssl:3.1.2:*:*:*:*:*:*:*","pkg:nix/openssl@3.1.2",""
"perl-5.28.1","perl-5.28.1","5.28.1","/nix/store/nda6vcdvbfcs24rf6mbh4icp6bl0qlnm-no-sys-dirs-5.26.patch /nix/store/5f2i9rhs0pi5g8m762x4j55llm3z60xg-0001-Fix-missing-build-dependency-for-pods.patch","x86_64-linux","/nix/store/3ihhfch33n7s8rmglbqlsr1770vpqk3m-perl-5.28.1","['/nix/store/3ihhfch33n7s8rmglbqlsr1770vpqk3m-perl-5.28.1']","/nix/store/204zd94fggzj9zdn1za5gm73mhaz9ic3-perl-5.28.1.drv","cpe:2.3:a:perl-5.28.1:perl-5.28.1:5.28.1:*:*:*:*:*:*:*","pkg:nix/perl-5.28.1@5.28.1",""
"zlib-1.2.11","zlib-1.2.11","1.2.11","","x86_64-linux","/nix/store/0f1bal83favkgrr5mp5crw9mqrzi85b7-zlib-1.2.11","['/nix/store/0f1bal83favkgrr5mp5crw9mqrzi85b7-zlib-1.2.11']","/nix/store/r8gwvrii05723baxmcdiamyibvrwp19g-zlib-1.2.11.drv","cpe:2.3:a:zlib-1.2.11:zlib-1.2.11:1.2.11:*:*:*:*:*:*:*","pkg:nix/zlib-1.2.11@1.2.11",""
