"vuln_id","url","package","version_local","severity","grype","osv","vulnix","sum","sortcol"
"RHSA-2026:0794","https://osv.dev/RHSA-2026:0794","openssl","3.6.0","","0","1","0","1","2026A1770768000"
"RHSA-2026:1472","https://osv.dev/RHSA-2026:1472","openssl","3.6.0","","0","1","0","1","2026A1770768000"
"RHSA-2026:1473","https://osv.dev/RHSA-2026:1473","openssl","3.6.0","","0","1","0","1","2026A1770768000"
"RHSA-2026:1496","https://osv.dev/RHSA-2026:1496","openssl","3.6.0","","0","1","0","1","2026A1770768000"
"RHSA-2026:1503","https://osv.dev/RHSA-2026:1503","openssl","3.6.0","","0","1","0","1","2026A1770768000"
"RHSA-2026:1519","https://osv.dev/RHSA-2026:1519","openssl","3.6.0","","0","1","0","1","2026A1770768000"
"RHSA-2026:1594","https://osv.dev/RHSA-2026:1594","openssl","3.6.0","","0","1","0","1","2026A1770768000"
"RHSA-2026:1733","https://osv.dev/RHSA-2026:1733","openssl","3.6.0","","0","1","0","1","2026A1770768000"
"RHSA-2026:0794","https://osv.dev/RHSA-2026:0794","openssl","3.1.2","","0","1","0","1","2026A1770768000"
"RHSA-2026:1472","https://osv.dev/RHSA-2026:1472","openssl","3.1.2","","0","1","0","1","2026A1770768000"
"RHSA-2026:1473","https://osv.dev/RHSA-2026:1473","openssl","3.1.2","","0","1","0","1","2026A1770768000"
"RHSA-2026:1496","https://osv.dev/RHSA-2026:1496","openssl","3.1.2","","0","1","0","1","2026A1770768000"
"RHSA-2026:1503","https://osv.dev/RHSA-2026:1503","openssl","3.1.2","","0","1","0","1","2026A1770768000"
"RHSA-2026:1519","https://osv.dev/RHSA-2026:1519","openssl","3.1.2","","0","1","0","1","2026A1770768000"
"RHSA-2026:1594","https://osv.dev/RHSA-2026:1594","openssl","3.1.2","","0","1","0","1","2026A1770768000"
"RHSA-2026:1733","https://osv.dev/RHSA-2026:1733","openssl","3.1.2","","0","1","0","1","2026A1770768000"
"USN-7980-1","https://osv.dev/USN-7980-1","openssl","3.1.2","","0","1","0","1","2026A1770681600"
"USN-6409-1","https://osv.dev/USN-6409-1","glibc","2.34-210","","0","1","0","1","2026A1770681600"
"USN-6541-1","https://osv.dev/USN-6541-1","glibc","2.34-210","","0","1","0","1","2026A1770681600"
"USN-6541-2","https://osv.dev/USN-6541-2","glibc","2.34-210","","0","1","0","1","2026A1770681600"
"USN-6737-1","https://osv.dev/USN-6737-1","glibc","2.34-210","","0","1","0","1","2026A1770681600"
"USN-6737-2","https://osv.dev/USN-6737-2","glibc","2.34-210","","0","1","0","1","2026A1770681600"
"USN-6804-1","https://osv.dev/USN-6804-1","glibc","2.34-210","","0","1","0","1","2026A1770681600"
"USN-7259-1","https://osv.dev/USN-7259-1","glibc","2.34-210","","0","1","0","1","2026A1770681600"
"USN-7541-1","https://osv.dev/USN-7541-1","glibc","2.34-210","","0","1","0","1","2026A1770681600"
"USN-7634-1","https://osv.dev/USN-7634-1","glibc","2.34-210","","0","1","0","1","2026A1770681600"
"USN-7760-1","https://osv.dev/USN-7760-1","glibc","2.34-210","","0","1","0","1","2026A1770681600"
"USN-8005-1","https://osv.dev/USN-8005-1","glibc","2.34-210","","0","1","0","1","2026A1770681600"
"RHSA-2026:1334","https://osv.dev/RHSA-2026:1334","glibc","2.34-210","","0","1","0","1","2026A1770595200"
"CGA-4r5h-8hvp-w6xm","https://osv.dev/CGA-4r5h-8hvp-w6xm","openssl","3.6.0","","0","1","0","1","2026A1770249600"
"CGA-9vjv-2q8r-rw73","https://osv.dev/CGA-9vjv-2q8r-rw73","openssl","3.6.0","","0","1","0","1","2026A1770249600"
"RLSA-2021:1024","https://osv.dev/RLSA-2021:1024","openssl","3.6.0","","0","1","0","1","2026A1770249600"
"RLSA-2021:5226","https://osv.dev/RLSA-2021:5226","openssl","3.6.0","","0","1","0","1","2026A1770249600"
"RLSA-2022:1065","https://osv.dev/RLSA-2022:1065","openssl","3.6.0","","0","1","0","1","2026A1770249600"
"RLSA-2022:7288","https://osv.dev/RLSA-2022:7288","openssl","3.6.0","","0","1","0","1","2026A1770249600"
"RLSA-2023:0946","https://osv.dev/RLSA-2023:0946","openssl","3.6.0","","0","1","0","1","2026A1770249600"
"RLSA-2023:1405","https://osv.dev/RLSA-2023:1405","openssl","3.6.0","","0","1","0","1","2026A1770249600"
"RLSA-2024:6783","https://osv.dev/RLSA-2024:6783","openssl","3.6.0","","0","1","0","1","2026A1770249600"
"CGA-4r5h-8hvp-w6xm","https://osv.dev/CGA-4r5h-8hvp-w6xm","openssl","3.1.2","","0","1","0","1","2026A1770249600"
"CGA-9vjv-2q8r-rw73","https://osv.dev/CGA-9vjv-2q8r-rw73","openssl","3.1.2","","0","1","0","1","2026A1770249600"
"RLSA-2021:1024","https://osv.dev/RLSA-2021:1024","openssl","3.1.2","","0","1","0","1","2026A1770249600"
"RLSA-2021:5226","https://osv.dev/RLSA-2021:5226","openssl","3.1.2","","0","1","0","1","2026A1770249600"
"RLSA-2022:1065","https://osv.dev/RLSA-2022:1065","openssl","3.1.2","","0","1","0","1","2026A1770249600"
"RLSA-2022:7288","https://osv.dev/RLSA-2022:7288","openssl","3.1.2","","0","1","0","1","2026A1770249600"
"RLSA-2023:0946","https://osv.dev/RLSA-2023:0946","openssl","3.1.2","","0","1","0","1","2026A1770249600"
"RLSA-2023:1405","https://osv.dev/RLSA-2023:1405","openssl","3.1.2","","0","1","0","1","2026A1770249600"
"RLSA-2024:6783","https://osv.dev/RLSA-2024:6783","openssl","3.1.2","","0","1","0","1","2026A1770249600"
"ALSA-2022:1065","https://osv.dev/ALSA-2022:1065","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2022:5818","https://osv.dev/ALSA-2022:5818","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2022:6224","https://osv.dev/ALSA-2022:6224","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2022:7288","https://osv.dev/ALSA-2022:7288","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2023:0946","https://osv.dev/ALSA-2023:0946","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2023:1405","https://osv.dev/ALSA-2023:1405","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2023:2523","https://osv.dev/ALSA-2023:2523","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2023:3722","https://osv.dev/ALSA-2023:3722","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2023:7877","https://osv.dev/ALSA-2023:7877","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2024:0310","https://osv.dev/ALSA-2024:0310","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2024:2447","https://osv.dev/ALSA-2024:2447","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2024:6783","https://osv.dev/ALSA-2024:6783","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2024:7848","https://osv.dev/ALSA-2024:7848","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2024:9333","https://osv.dev/ALSA-2024:9333","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2025:1330","https://osv.dev/ALSA-2025:1330","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2025:21248","https://osv.dev/ALSA-2025:21248","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2025:21255","https://osv.dev/ALSA-2025:21255","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2026:0337","https://osv.dev/ALSA-2026:0337","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2026:1472","https://osv.dev/ALSA-2026:1472","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"ALSA-2026:1473","https://osv.dev/ALSA-2026:1473","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"CGA-5h8h-83x5-5c7f","https://osv.dev/CGA-5h8h-83x5-5c7f","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"CGA-7gc4-88j6-9pgg","https://osv.dev/CGA-7gc4-88j6-9pgg","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"CGA-98cj-65vp-55vg","https://osv.dev/CGA-98cj-65vp-55vg","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"CGA-9hqf-jc89-w38w","https://osv.dev/CGA-9hqf-jc89-w38w","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"CGA-f7hh-h68c-h67j","https://osv.dev/CGA-f7hh-h68c-h67j","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"CGA-gg8h-2f2r-7qx4","https://osv.dev/CGA-gg8h-2f2r-7qx4","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"CGA-h2rf-gww3-5hm6","https://osv.dev/CGA-h2rf-gww3-5hm6","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"CGA-jw8r-q3r6-737x","https://osv.dev/CGA-jw8r-q3r6-737x","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"CGA-pf9v-45gc-f4gq","https://osv.dev/CGA-pf9v-45gc-f4gq","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"CGA-wggh-4hqr-p82f","https://osv.dev/CGA-wggh-4hqr-p82f","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHBA-2025:6314","https://osv.dev/RHBA-2025:6314","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2024:6783","https://osv.dev/RHSA-2024:6783","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2024:7846","https://osv.dev/RHSA-2024:7846","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2024:7847","https://osv.dev/RHSA-2024:7847","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2024:7848","https://osv.dev/RHSA-2024:7848","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2024:9333","https://osv.dev/RHSA-2024:9333","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2025:1330","https://osv.dev/RHSA-2025:1330","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2025:21174","https://osv.dev/RHSA-2025:21174","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2025:21248","https://osv.dev/RHSA-2025:21248","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2025:21255","https://osv.dev/RHSA-2025:21255","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2025:21562","https://osv.dev/RHSA-2025:21562","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2025:22794","https://osv.dev/RHSA-2025:22794","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2025:3666","https://osv.dev/RHSA-2025:3666","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2026:0337","https://osv.dev/RHSA-2026:0337","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2026:0602","https://osv.dev/RHSA-2026:0602","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2026:0714","https://osv.dev/RHSA-2026:0714","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2026:0887","https://osv.dev/RHSA-2026:0887","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2026:1349","https://osv.dev/RHSA-2026:1349","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2026:1475","https://osv.dev/RHSA-2026:1475","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RHSA-2026:1720","https://osv.dev/RHSA-2026:1720","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RLSA-2021:4424","https://osv.dev/RLSA-2021:4424","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RLSA-2022:5818","https://osv.dev/RLSA-2022:5818","openssl","3.6.0","","0","1","0","1","2026A1770163200"
"RLSA-2024:7848","https://osv.dev/RLSA-2024:7848","openssl","3.6.0","","0","1","0","1","2026A1770163200"
