"vuln_id","url","package","version_local","severity","grype","osv","vulnix","sum","sortcol"
"CVE-2025-4802","https://nvd.nist.gov/vuln/detail/CVE-2025-4802","glibc","2.27","7.8","0","0","1","1","2025A0000004802"
"CVE-2024-33602","https://nvd.nist.gov/vuln/detail/CVE-2024-33602","glibc","2.27","7.4","0","0","1","1","2024A0000033602"
"CVE-2024-33601","https://nvd.nist.gov/vuln/detail/CVE-2024-33601","glibc","2.27","7.3","0","0","1","1","2024A0000033601"
"CVE-2024-33600","https://nvd.nist.gov/vuln/detail/CVE-2024-33600","glibc","2.27","5.9","0","0","1","1","2024A0000033600"
"CVE-2024-33599","https://nvd.nist.gov/vuln/detail/CVE-2024-33599","glibc","2.27","8.1","0","0","1","1","2024A0000033599"
"CVE-2023-4813","https://nvd.nist.gov/vuln/detail/CVE-2023-4813","glibc","2.27","5.9","0","0","1","1","2023A0000004813"
"CVE-2023-4039","https://nvd.nist.gov/vuln/detail/CVE-2023-4039","gcc","7.4.0","4.8","0","0","1","1","2023A0000004039"
"CVE-2023-0687","https://nvd.nist.gov/vuln/detail/CVE-2023-0687","glibc","2.27","4.6","0","0","1","1","2023A0000000687"
"CVE-2022-23219","https://nvd.nist.gov/vuln/detail/CVE-2022-23219","glibc","2.27","9.8","0","0","1","1","2022A0000023219"
"CVE-2022-23218","https://nvd.nist.gov/vuln/detail/CVE-2022-23218","glibc","2.27","9.8","0","0","1","1","2022A0000023218"
"CVE-2021-38604","https://nvd.nist.gov/vuln/detail/CVE-2021-38604","glibc","2.27","7.5","0","0","1","1","2021A0000038604"
"CVE-2021-37322","https://nvd.nist.gov/vuln/detail/CVE-2021-37322","gcc","7.4.0","7.8","0","0","1","1","2021A0000037322"
"CVE-2021-35942","https://nvd.nist.gov/vuln/detail/CVE-2021-35942","glibc","2.27","9.1","0","0","1","1","2021A0000035942"
"CVE-2021-3999","https://nvd.nist.gov/vuln/detail/CVE-2021-3999","glibc","2.27","7.8","0","0","1","1","2021A0000003999"
"CVE-2021-3326","https://nvd.nist.gov/vuln/detail/CVE-2021-3326","glibc","2.27","7.5","0","0","1","1","2021A0000003326"
"CVE-2020-27618","https://nvd.nist.gov/vuln/detail/CVE-2020-27618","glibc","2.27","5.5","0","0","1","1","2020A0000027618"
"CVE-2020-10029","https://nvd.nist.gov/vuln/detail/CVE-2020-10029","glibc","2.27","5.5","0","0","1","1","2020A0000010029"
"CVE-2020-6096","https://nvd.nist.gov/vuln/detail/CVE-2020-6096","glibc","2.27","8.1","0","0","1","1","2020A0000006096"
"CVE-2020-1752","https://nvd.nist.gov/vuln/detail/CVE-2020-1752","glibc","2.27","7.0","0","0","1","1","2020A0000001752"
"CVE-2020-1751","https://nvd.nist.gov/vuln/detail/CVE-2020-1751","glibc","2.27","5.1","0","0","1","1","2020A0000001751"
