"vuln_id","url","package","version_local","severity","grype","osv","vulnix","sum","sortcol"
"CVE-2026-22796","https://nvd.nist.gov/vuln/detail/CVE-2026-22796","openssl","3.6.0","5.3","1","0","1","2","2026A0000022796"
"CVE-2026-22795","https://nvd.nist.gov/vuln/detail/CVE-2026-22795","openssl","3.6.0","5.5","1","0","1","2","2026A0000022795"
"CVE-2025-69421","https://nvd.nist.gov/vuln/detail/CVE-2025-69421","openssl","3.6.0","7.5","1","0","1","2","2025A0000069421"
"CVE-2025-69420","https://nvd.nist.gov/vuln/detail/CVE-2025-69420","openssl","3.6.0","7.5","1","0","1","2","2025A0000069420"
"CVE-2025-69419","https://nvd.nist.gov/vuln/detail/CVE-2025-69419","openssl","3.6.0","7.4","1","0","1","2","2025A0000069419"
"CVE-2025-69418","https://nvd.nist.gov/vuln/detail/CVE-2025-69418","openssl","3.6.0","4.0","1","0","1","2","2025A0000069418"
"CVE-2025-68160","https://nvd.nist.gov/vuln/detail/CVE-2025-68160","openssl","3.6.0","4.7","1","0","1","2","2025A0000068160"
"CVE-2025-66199","https://nvd.nist.gov/vuln/detail/CVE-2025-66199","openssl","3.6.0","5.9","1","0","1","2","2025A0000066199"
"CVE-2025-15469","https://nvd.nist.gov/vuln/detail/CVE-2025-15469","openssl","3.6.0","5.5","1","0","1","2","2025A0000015469"
"CVE-2025-15468","https://nvd.nist.gov/vuln/detail/CVE-2025-15468","openssl","3.6.0","5.9","1","0","1","2","2025A0000015468"
"CVE-2025-15467","https://nvd.nist.gov/vuln/detail/CVE-2025-15467","openssl","3.6.0","9.8","1","0","1","2","2025A0000015467"
"CVE-2025-11187","https://nvd.nist.gov/vuln/detail/CVE-2025-11187","openssl","3.6.0","6.1","1","0","1","2","2025A0000011187"
